daily_steps,caffeine_mg,screen_time_min,stress_score,sleep_quality_score
9270,166,123,0.3,46.2
2860,273,40,6.4,23.6
7390,387,156,3.1,21.9
7191,88,14,5.1,40
13964,315,44,9.1,40.7
13284,13,64,2.5,67
7734,241,88,4.1,38.3
8265,264,70,7.6,22.8
2466,345,8,2.3,38.1
6426,52,87,0.8,42.5
7578,385,128,2.9,28.8
13636,339,135,1.6,53.8
13363,91,62,9.3,37.8
13111,366,138,8.1,21
10322,263,80,6.3,34.2
3685,34,135,8.7,17.9
2769,205,162,8,1.3
12583,80,162,1.9,50.6
8949,49,32,8.9,34.7
4433,359,122,5.4,17.6
7311,387,4,8.1,20
7051,1,40,9,45.3
8420,389,27,3.2,32.8
3184,53,134,1.1,36
6555,105,71,2.3,49.1
5385,259,11,4.3,29.8
14309,309,161,8.2,27.7
8396,190,32,8.6,39.1
13096,217,47,0.1,52.4
10666,43,150,5.1,42.4
11274,161,61,4.2,49.2
4558,201,36,2.2,43.9
9849,269,98,1.2,37.3
4047,350,171,3.4,8.4
4747,303,103,9.4,13.2
11167,270,34,3.2,48.9
11998,214,100,5.2,41.5
2189,251,174,7,8.7
4734,189,130,3.6,24.6
5005,295,0,9.7,22.2
6658,212,4,9.6,29.8
3899,207,141,2.5,23.5
9734,236,102,5,44.3
3267,337,26,3,32
3528,366,136,2.8,12.2
13394,52,14,0.4,75.1
5556,279,89,6.1,18.1
5890,216,41,5,38.3
10838,251,123,0.5,51.4
13080,187,178,2.8,37.9
